"x","y","district"
-13,-31,"0"
-12,-31,"0"
-11,-31,"0"
-10,-31,"0"
-9,-31,"0"
-8,-31,"0"
-7,-31,"0"
-6,-31,"0"
-5,-31,"0"
-4,-31,"0"
-3,-31,"0"
-2,-31,"0"
-1,-31,"0"
0,-31,"0"
1,-31,"0"
2,-31,"0"
3,-31,"0"
4,-31,"0"
5,-31,"0"
6,-31,"0"
7,-31,"0"
8,-31,"0"
9,-31,"0"
10,-31,"0"
11,-31,"0"
12,-31,"0"
13,-31,"0"
14,-31,"0"
-13,-30,"0"
-12,-30,"USME"
-11,-30,"USME"
-10,-30,"0"
-9,-30,"0"
-8,-30,"0"
-7,-30,"0"
-6,-30,"0"
-5,-30,"0"
-4,-30,"0"
-3,-30,"0"
-2,-30,"0"
-1,-30,"0"
0,-30,"0"
1,-30,"0"
2,-30,"0"
3,-30,"0"
4,-30,"0"
5,-30,"0"
6,-30,"0"
7,-30,"0"
8,-30,"0"
9,-30,"0"
10,-30,"0"
11,-30,"0"
12,-30,"0"
13,-30,"0"
14,-30,"0"
-13,-29,"0"
-12,-29,"0"
-11,-29,"USME"
-10,-29,"USME"
-9,-29,"USME"
-8,-29,"USME"
-7,-29,"USME"
-6,-29,"USME"
-5,-29,"0"
-4,-29,"0"
-3,-29,"0"
-2,-29,"0"
-1,-29,"0"
0,-29,"0"
1,-29,"0"
2,-29,"0"
3,-29,"0"
4,-29,"0"
5,-29,"0"
6,-29,"0"
7,-29,"0"
8,-29,"0"
9,-29,"0"
10,-29,"0"
11,-29,"0"
12,-29,"0"
13,-29,"0"
14,-29,"0"
-13,-28,"0"
-12,-28,"0"
-11,-28,"USME"
-10,-28,"USME"
-9,-28,"USME"
-8,-28,"USME"
-7,-28,"USME"
-6,-28,"USME"
-5,-28,"USME"
-4,-28,"0"
-3,-28,"0"
-2,-28,"0"
-1,-28,"0"
0,-28,"0"
1,-28,"0"
2,-28,"0"
3,-28,"0"
4,-28,"0"
5,-28,"0"
6,-28,"0"
7,-28,"0"
8,-28,"0"
9,-28,"0"
10,-28,"0"
11,-28,"0"
12,-28,"0"
13,-28,"0"
14,-28,"0"
-13,-27,"0"
-12,-27,"0"
-11,-27,"USME"
-10,-27,"USME"
-9,-27,"USME"
-8,-27,"USME"
-7,-27,"USME"
-6,-27,"USME"
-5,-27,"USME"
-4,-27,"USME"
-3,-27,"USME"
-2,-27,"USME"
-1,-27,"0"
0,-27,"0"
1,-27,"0"
2,-27,"0"
3,-27,"0"
4,-27,"0"
5,-27,"0"
6,-27,"0"
7,-27,"0"
8,-27,"0"
9,-27,"0"
10,-27,"0"
11,-27,"0"
12,-27,"0"
13,-27,"0"
14,-27,"0"
-13,-26,"0"
-12,-26,"0"
-11,-26,"USME"
-10,-26,"USME"
-9,-26,"USME"
-8,-26,"USME"
-7,-26,"USME"
-6,-26,"USME"
-5,-26,"USME"
-4,-26,"USME"
-3,-26,"USME"
-2,-26,"USME"
-1,-26,"USME"
0,-26,"0"
1,-26,"0"
2,-26,"0"
3,-26,"0"
4,-26,"0"
5,-26,"0"
6,-26,"0"
7,-26,"0"
8,-26,"0"
9,-26,"0"
10,-26,"0"
11,-26,"0"
12,-26,"0"
13,-26,"0"
14,-26,"0"
-13,-25,"0"
-12,-25,"USME"
-11,-25,"USME"
-10,-25,"USME"
-9,-25,"USME"
-8,-25,"USME"
-7,-25,"USME"
-6,-25,"USME"
-5,-25,"USME"
-4,-25,"USME"
-3,-25,"USME"
-2,-25,"USME"
-1,-25,"USME"
0,-25,"USME"
1,-25,"0"
2,-25,"0"
3,-25,"0"
4,-25,"0"
5,-25,"0"
6,-25,"0"
7,-25,"0"
8,-25,"0"
9,-25,"0"
10,-25,"0"
11,-25,"0"
12,-25,"0"
13,-25,"0"
14,-25,"0"
-13,-24,"0"
-12,-24,"USME"
-11,-24,"USME"
-10,-24,"USME"
-9,-24,"USME"
-8,-24,"USME"
-7,-24,"USME"
-6,-24,"USME"
-5,-24,"USME"
-4,-24,"USME"
-3,-24,"USME"
-2,-24,"USME"
-1,-24,"USME"
0,-24,"USME"
1,-24,"0"
2,-24,"0"
3,-24,"0"
4,-24,"0"
5,-24,"0"
6,-24,"0"
7,-24,"0"
8,-24,"0"
9,-24,"0"
10,-24,"0"
11,-24,"0"
12,-24,"0"
13,-24,"0"
14,-24,"0"
-13,-23,"0"
-12,-23,"USME"
-11,-23,"USME"
-10,-23,"USME"
-9,-23,"USME"
-8,-23,"USME"
-7,-23,"USME"
-6,-23,"USME"
-5,-23,"USME"
-4,-23,"USME"
-3,-23,"USME"
-2,-23,"USME"
-1,-23,"USME"
0,-23,"USME"
1,-23,"USME"
2,-23,"0"
3,-23,"0"
4,-23,"0"
5,-23,"0"
6,-23,"0"
7,-23,"0"
8,-23,"0"
9,-23,"0"
10,-23,"0"
11,-23,"0"
12,-23,"0"
13,-23,"0"
14,-23,"0"
-13,-22,"0"
-12,-22,"USME"
-11,-22,"USME"
-10,-22,"USME"
-9,-22,"USME"
-8,-22,"USME"
-7,-22,"USME"
-6,-22,"USME"
-5,-22,"USME"
-4,-22,"USME"
-3,-22,"USME"
-2,-22,"USME"
-1,-22,"USME"
0,-22,"USME"
1,-22,"USME"
2,-22,"0"
3,-22,"0"
4,-22,"0"
5,-22,"0"
6,-22,"0"
7,-22,"0"
8,-22,"0"
9,-22,"0"
10,-22,"0"
11,-22,"0"
12,-22,"0"
13,-22,"0"
14,-22,"0"
-13,-21,"0"
-12,-21,"USME"
-11,-21,"USME"
-10,-21,"USME"
-9,-21,"USME"
-8,-21,"USME"
-7,-21,"USME"
-6,-21,"USME"
-5,-21,"USME"
-4,-21,"USME"
-3,-21,"USME"
-2,-21,"USME"
-1,-21,"USME"
0,-21,"USME"
1,-21,"USME"
2,-21,"0"
3,-21,"0"
4,-21,"0"
5,-21,"0"
6,-21,"0"
7,-21,"0"
8,-21,"0"
9,-21,"0"
10,-21,"0"
11,-21,"0"
12,-21,"0"
13,-21,"0"
14,-21,"0"
-13,-20,"0"
-12,-20,"0"
-11,-20,"USME"
-10,-20,"USME"
-9,-20,"USME"
-8,-20,"USME"
-7,-20,"USME"
-6,-20,"USME"
-5,-20,"USME"
-4,-20,"USME"
-3,-20,"USME"
-2,-20,"USME"
-1,-20,"USME"
0,-20,"USME"
1,-20,"USME"
2,-20,"0"
3,-20,"0"
4,-20,"0"
5,-20,"0"
6,-20,"0"
7,-20,"0"
8,-20,"0"
9,-20,"0"
10,-20,"0"
11,-20,"0"
12,-20,"0"
13,-20,"0"
14,-20,"0"
-13,-19,"0"
-12,-19,"0"
-11,-19,"USME"
-10,-19,"USME"
-9,-19,"USME"
-8,-19,"USME"
-7,-19,"USME"
-6,-19,"USME"
-5,-19,"USME"
-4,-19,"USME"
-3,-19,"USME"
-2,-19,"USME"
-1,-19,"USME"
0,-19,"USME"
1,-19,"USME"
2,-19,"0"
3,-19,"0"
4,-19,"0"
5,-19,"0"
6,-19,"0"
7,-19,"0"
8,-19,"0"
9,-19,"0"
10,-19,"0"
11,-19,"0"
12,-19,"0"
13,-19,"0"
14,-19,"0"
-13,-18,"0"
-12,-18,"0"
-11,-18,"USME"
-10,-18,"USME"
-9,-18,"USME"
-8,-18,"CIUDAD BOLIVAR"
-7,-18,"USME"
-6,-18,"USME"
-5,-18,"USME"
-4,-18,"USME"
-3,-18,"USME"
-2,-18,"USME"
-1,-18,"USME"
0,-18,"0"
1,-18,"0"
2,-18,"0"
3,-18,"0"
4,-18,"0"
5,-18,"0"
6,-18,"0"
7,-18,"0"
8,-18,"0"
9,-18,"0"
10,-18,"0"
11,-18,"0"
12,-18,"0"
13,-18,"0"
14,-18,"0"
-13,-17,"0"
-12,-17,"0"
